               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.052599,             0.01469,            0.021625,             0.99081,             0.24167,             0.26568,             0.17353,            0.041248,           0.0093703,            0.018564,            0.008482,            0.008482,            0.008482
                  48,            0.042503,            0.018415,            0.021065,             0.97497,             0.22467,              0.2558,             0.13729,            0.044228,           0.0090265,            0.018271,            0.008449,            0.008449,            0.008449
                  49,            0.050736,            0.013955,            0.015039,             0.97497,             0.22467,              0.2558,             0.13729,            0.044228,           0.0090265,            0.018271,            0.008416,            0.008416,            0.008416
                  50,             0.04819,            0.014821,            0.022355,             0.99268,             0.24167,             0.28393,             0.18758,            0.037637,           0.0087051,            0.018546,            0.008383,            0.008383,            0.008383
                  51,            0.045614,            0.012601,            0.015451,             0.93763,               0.175,             0.24224,             0.15137,             0.05269,           0.0074258,            0.018388,             0.00835,             0.00835,             0.00835
                  52,            0.054854,            0.011994,             0.02036,             0.93763,               0.175,             0.24224,             0.15137,             0.05269,           0.0074258,            0.018388,            0.008317,            0.008317,            0.008317
                  53,            0.050479,            0.012132,              0.0216,             0.93193,             0.24167,             0.26188,             0.16869,            0.039389,           0.0077372,            0.018118,            0.008284,            0.008284,            0.008284
                  54,            0.044577,            0.014741,            0.017735,             0.91553,             0.23333,             0.25056,             0.16486,            0.043384,           0.0073667,            0.017667,            0.008251,            0.008251,            0.008251
                  55,             0.04352,            0.010539,            0.015075,             0.91553,             0.23333,             0.25056,             0.16486,            0.043384,           0.0073667,            0.017667,            0.008218,            0.008218,            0.008218
                  56,            0.042881,            0.012503,             0.01552,              0.9954,             0.23333,             0.28081,             0.18022,            0.037765,           0.0072761,            0.018187,            0.008185,            0.008185,            0.008185
                  57,            0.039733,            0.012833,            0.016082,             0.95242,             0.18333,             0.24677,             0.14943,            0.049338,           0.0064888,            0.018558,            0.008152,            0.008152,            0.008152
                  58,            0.053069,            0.013785,            0.015937,             0.95242,             0.18333,             0.24677,             0.14943,            0.049338,           0.0064888,            0.018558,            0.008119,            0.008119,            0.008119
                  59,            0.046281,            0.011163,            0.018046,             0.98814,             0.24167,             0.28164,             0.19767,            0.034075,            0.007031,            0.017671,            0.008086,            0.008086,            0.008086
                  60,            0.039995,            0.014957,            0.017232,             0.95406,             0.21667,             0.25262,              0.1549,             0.04633,           0.0064332,             0.01716,            0.008053,            0.008053,            0.008053
                  61,            0.051294,            0.011513,            0.021016,             0.95406,             0.21667,             0.25262,              0.1549,             0.04633,           0.0064332,             0.01716,             0.00802,             0.00802,             0.00802
                  62,            0.048783,            0.013051,            0.018555,             0.96878,             0.21667,             0.25656,             0.17211,            0.042994,           0.0066314,            0.016331,            0.007987,            0.007987,            0.007987
                  63,            0.048373,            0.012093,            0.012662,             0.93445,               0.175,             0.23054,             0.12277,            0.047298,           0.0064759,             0.01584,            0.007954,            0.007954,            0.007954
                  64,            0.052184,            0.011671,            0.019566,             0.93445,               0.175,             0.23054,             0.12277,            0.047298,           0.0064759,             0.01584,            0.007921,            0.007921,            0.007921
                  65,             0.04709,            0.012145,            0.022087,             0.94155,             0.24582,             0.25395,              0.1714,            0.037012,           0.0074868,            0.015494,            0.007888,            0.007888,            0.007888
                  66,            0.040266,            0.013146,             0.01436,             0.97047,             0.21667,             0.32208,             0.24152,            0.039406,           0.0060868,            0.016908,            0.007855,            0.007855,            0.007855
                  67,            0.043952,            0.012365,            0.014284,             0.97047,             0.21667,             0.32208,             0.24152,            0.039406,           0.0060868,            0.016908,            0.007822,            0.007822,            0.007822
                  68,            0.046788,           0.0078659,            0.016008,             0.96091,             0.20833,             0.32047,             0.24138,            0.039974,           0.0060854,            0.016876,            0.007789,            0.007789,            0.007789
                  69,            0.042345,           0.0084677,            0.021915,             0.99125,             0.22994,             0.34465,             0.21856,            0.040307,           0.0059228,            0.017152,            0.007756,            0.007756,            0.007756
                  70,            0.044299,            0.011337,            0.018025,             0.99125,             0.22994,             0.34465,             0.21856,            0.040307,           0.0059228,            0.017152,            0.007723,            0.007723,            0.007723
                  71,            0.041062,            0.012994,            0.024607,              0.9792,             0.23333,             0.29037,             0.19311,            0.031388,           0.0063467,            0.015672,             0.00769,             0.00769,             0.00769
                  72,            0.035265,            0.015558,            0.015572,             0.93871,               0.225,             0.31867,             0.17242,            0.049316,           0.0057273,            0.015717,            0.007657,            0.007657,            0.007657
